# ----------------------------------------,,,,,,,,,,,
# All Web Site Data,,,,,,,,,,,
# User Explorer,,,,,,,,,,,
# 20190702-20191015,,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,,
,,,,,,,,,,,
Client Id,Sessions,Avg. Session Duration,Bounce Rate,Revenue,Transactions,Goal Conversion Rate,Country,Device,Issued,Redeemed,Expired
1791259842,126,0:01:19,13.49%,$0.00,0,0.00%,US,Apple iPhone,Y,N,Y
1986855720,97,0:01:13,3.09%,$0.00,0,0.00%,US,Samsung SM-N960F Galaxy Note9,N,N,N
970427667.2,92,0:02:17,22.83%,$0.00,0,0.00%,US,(not set),Y,Y,N
183364227.2,89,0:04:38,76.40%,$0.00,0,0.00%,US,Apple iPhone,Y,Y,N
1316943223,83,0:01:18,46.99%,$0.00,0,0.00%,US,Apple iPhone,Y,Y,N
841510510.2,77,0:00:18,50.65%,$0.00,0,0.00%,US,Apple iPhone,Y,N,N
1833642174,74,0:00:18,32.43%,$0.00,0,0.00%,US,Apple iPhone,Y,Y,N
958981370.2,67,0:01:06,7.46%,$0.00,0,0.00%,US,Apple iPhone,N,N,N
1924068732,57,0:02:55,64.91%,$0.00,0,0.00%,US,Apple iPhone,N,N,N
181188592.2,55,0:01:50,74.55%,$0.00,0,0.00%,US,Apple iPhone,Y,N,N
2127674534,49,0:01:04,59.18%,$0.00,0,0.00%,US,Apple iPhone,Y,N,N
483074759.2,49,0:00:53,10.20%,$0.00,0,0.00%,US,Apple iPhone,Y,Y,N
23752690.16,44,0:19:47,4.55%,$0.00,0,0.00%,US,Apple iPhone,Y,Y,N
29762993.16,44,0:00:52,52.27%,$0.00,0,0.00%,US,Apple iPhone,Y,N,N
373158036.2,44,0:00:34,45.45%,$0.00,0,0.00%,US,Apple iPhone,Y,Y,N
49315746.16,44,0:03:41,36.36%,$0.00,0,0.00%,US,Apple iPhone,Y,N,N
992696131.2,44,0:00:52,90.91%,$0.00,0,0.00%,US,Apple iPhone,Y,Y,N
1324081166,43,0:03:39,6.98%,$0.00,0,0.00%,US,Apple iPhone,N,N,N
1494520917,43,0:00:10,27.91%,$0.00,0,0.00%,US,Apple iPhone,N,N,N
1943619072,43,0:01:30,39.53%,$0.00,0,0.00%,US,Apple iPhone,Y,N,N
978705145.2,43,0:00:55,65.12%,$0.00,0,0.00%,US,Apple iPhone,Y,Y,N
1203635051,42,0:01:15,69.05%,$0.00,0,0.00%,US,Apple iPhone,Y,Y,N
1342083707,42,0:00:32,78.57%,$0.00,0,0.00%,US,Apple iPhone,Y,N,N
325786006.2,39,0:00:31,20.51%,$0.00,0,0.00%,US,Apple iPhone,Y,Y,N
